trivials	empty	rule	c2	c3	c4	c5	f1	f2	f3	f4	f5	covPostCases	confidence	lift	globalQuality	withoutTrivial	optimised	iteration	treeNode	simplification	oneCatAltIndex	extLength	covPostCases2	support
2120	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A2118 = "R";isnumber(match(c2118;a$1:a$1000;0));isnumber(match(h2118;a$1:a$1000;0));isnumber(match(d2118;a$1:a$1000;0));isnumber(match(i2118;a$1:a$1000;0));isnumber(match(e2118;a$1:a$1000;0));isnumber(match(j2118;a$1:a$1000;0));isnumber(match(f2118;a$1:a$1000;0));isnumber(match(k2118;a$1:a$1000;0));isnumber(match(g2118;a$1:a$1000;0));isnumber(match(l2118;a$1:a$1000;0)));0;p2118)	From Tree node	0000000111	59	""	""	""	""	""
2121	""	NonflavanoidsPhenols< 0.395	Proline< 862.5	Alcohol>=12.68	Alcohol< 12.91	" "	NonflavanoidsPhenols	Proline	Alcohol	Alcohol	" "	0.104166666666667	0.833333333333333	3.09	0.0868055555555556	=if(or(A2122 = "R";isnumber(match(c2122;a$1:a$1000;0));isnumber(match(h2122;a$1:a$1000;0));isnumber(match(d2122;a$1:a$1000;0));isnumber(match(i2122;a$1:a$1000;0));isnumber(match(e2122;a$1:a$1000;0));isnumber(match(j2122;a$1:a$1000;0));isnumber(match(f2122;a$1:a$1000;0));isnumber(match(k2122;a$1:a$1000;0));isnumber(match(g2122;a$1:a$1000;0));isnumber(match(l2122;a$1:a$1000;0)));0;p2122)	From Tree node	0000000122	23	""	""	1	5	6
2122	""	0.110091743119266	0.382113821138211	0.348214285714286	0.231707317073171						""	""	""	""	""	=if(or(A2122 = "R";isnumber(match(c2122;a$1:a$1000;0));isnumber(match(h2122;a$1:a$1000;0));isnumber(match(d2122;a$1:a$1000;0));isnumber(match(i2122;a$1:a$1000;0));isnumber(match(e2122;a$1:a$1000;0));isnumber(match(j2122;a$1:a$1000;0));isnumber(match(f2122;a$1:a$1000;0));isnumber(match(k2122;a$1:a$1000;0));isnumber(match(g2122;a$1:a$1000;0));isnumber(match(l2122;a$1:a$1000;0)));0;p2122)	From Tree node	0000000122	23	""	""	""	""	""
2123	""	-0.666666666666667	-0.714285714285714	-0.153846153846154	-0.423076923076923						""	""	""	""	""	=if(or(A2122 = "R";isnumber(match(c2122;a$1:a$1000;0));isnumber(match(h2122;a$1:a$1000;0));isnumber(match(d2122;a$1:a$1000;0));isnumber(match(i2122;a$1:a$1000;0));isnumber(match(e2122;a$1:a$1000;0));isnumber(match(j2122;a$1:a$1000;0));isnumber(match(f2122;a$1:a$1000;0));isnumber(match(k2122;a$1:a$1000;0));isnumber(match(g2122;a$1:a$1000;0));isnumber(match(l2122;a$1:a$1000;0)));0;p2122)	From Tree node	0000000122	23	""	""	""	""	""
2124	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A2122 = "R";isnumber(match(c2122;a$1:a$1000;0));isnumber(match(h2122;a$1:a$1000;0));isnumber(match(d2122;a$1:a$1000;0));isnumber(match(i2122;a$1:a$1000;0));isnumber(match(e2122;a$1:a$1000;0));isnumber(match(j2122;a$1:a$1000;0));isnumber(match(f2122;a$1:a$1000;0));isnumber(match(k2122;a$1:a$1000;0));isnumber(match(g2122;a$1:a$1000;0));isnumber(match(l2122;a$1:a$1000;0)));0;p2122)	From Tree node	0000000122	23	""	""	""	""	""
2125	""	NonflavanoidsPhenols< 0.395	AlcalinityOfAsh>=21.25	NonflavanoidsPhenols>=0.215	AlcalinityOfAsh>=23.25	" "	NonflavanoidsPhenols	AlcalinityOfAsh	NonflavanoidsPhenols	AlcalinityOfAsh	" "	0.104166666666667	0.833333333333333	3.09	0.0868055555555556	=if(or(A2126 = "R";isnumber(match(c2126;a$1:a$1000;0));isnumber(match(h2126;a$1:a$1000;0));isnumber(match(d2126;a$1:a$1000;0));isnumber(match(i2126;a$1:a$1000;0));isnumber(match(e2126;a$1:a$1000;0));isnumber(match(j2126;a$1:a$1000;0));isnumber(match(f2126;a$1:a$1000;0));isnumber(match(k2126;a$1:a$1000;0));isnumber(match(g2126;a$1:a$1000;0));isnumber(match(l2126;a$1:a$1000;0)));0;p2126)	From Tree node	00000002223	23	""	""	1	5	6
2126	""	0.110091743119266	0.469387755102041	0.2875	0.5						""	""	""	""	""	=if(or(A2126 = "R";isnumber(match(c2126;a$1:a$1000;0));isnumber(match(h2126;a$1:a$1000;0));isnumber(match(d2126;a$1:a$1000;0));isnumber(match(i2126;a$1:a$1000;0));isnumber(match(e2126;a$1:a$1000;0));isnumber(match(j2126;a$1:a$1000;0));isnumber(match(f2126;a$1:a$1000;0));isnumber(match(k2126;a$1:a$1000;0));isnumber(match(g2126;a$1:a$1000;0));isnumber(match(l2126;a$1:a$1000;0)));0;p2126)	From Tree node	00000002223	23	""	""	""	""	""
2127	""	-0.55	-0.833333333333333	-0.625	-0.583333333333333						""	""	""	""	""	=if(or(A2126 = "R";isnumber(match(c2126;a$1:a$1000;0));isnumber(match(h2126;a$1:a$1000;0));isnumber(match(d2126;a$1:a$1000;0));isnumber(match(i2126;a$1:a$1000;0));isnumber(match(e2126;a$1:a$1000;0));isnumber(match(j2126;a$1:a$1000;0));isnumber(match(f2126;a$1:a$1000;0));isnumber(match(k2126;a$1:a$1000;0));isnumber(match(g2126;a$1:a$1000;0));isnumber(match(l2126;a$1:a$1000;0)));0;p2126)	From Tree node	00000002223	23	""	""	""	""	""
2128	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A2126 = "R";isnumber(match(c2126;a$1:a$1000;0));isnumber(match(h2126;a$1:a$1000;0));isnumber(match(d2126;a$1:a$1000;0));isnumber(match(i2126;a$1:a$1000;0));isnumber(match(e2126;a$1:a$1000;0));isnumber(match(j2126;a$1:a$1000;0));isnumber(match(f2126;a$1:a$1000;0));isnumber(match(k2126;a$1:a$1000;0));isnumber(match(g2126;a$1:a$1000;0));isnumber(match(l2126;a$1:a$1000;0)));0;p2126)	From Tree node	00000002223	23	""	""	""	""	""
2129	""	Proanthocyanins>=1.305	Proanthocyanins< 1.565	Magnesium>=100.5	Ash< 2.625	" "	Proanthocyanins	Proanthocyanins	Magnesium	Ash	" "	0.104166666666667	0.833333333333333	3.09	0.0868055555555556	=if(or(A2130 = "R";isnumber(match(c2130;a$1:a$1000;0));isnumber(match(h2130;a$1:a$1000;0));isnumber(match(d2130;a$1:a$1000;0));isnumber(match(i2130;a$1:a$1000;0));isnumber(match(e2130;a$1:a$1000;0));isnumber(match(j2130;a$1:a$1000;0));isnumber(match(f2130;a$1:a$1000;0));isnumber(match(k2130;a$1:a$1000;0));isnumber(match(g2130;a$1:a$1000;0));isnumber(match(l2130;a$1:a$1000;0)));0;p2130)	From Tree node	0000001122	23	""	""	1	5	6
