trivials	empty	rule	c2	c3	c4	c5	f1	f2	f3	f4	f5	covPostCases	confidence	lift	globalQuality	withoutTrivial	optimised	iteration	treeNode	simplification	oneCatAltIndex	extLength	covPostCases2	support
312	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A310 = "R";isnumber(match(c310;a$1:a$1000;0));isnumber(match(h310;a$1:a$1000;0));isnumber(match(d310;a$1:a$1000;0));isnumber(match(i310;a$1:a$1000;0));isnumber(match(e310;a$1:a$1000;0));isnumber(match(j310;a$1:a$1000;0));isnumber(match(f310;a$1:a$1000;0));isnumber(match(k310;a$1:a$1000;0));isnumber(match(g310;a$1:a$1000;0));isnumber(match(l310;a$1:a$1000;0)));0;p310)	Simplified	000	43	1	""	""	""	""
313	""	A13< 99.5	A7>=1220	" "	" "	" "	A13	A7	" "	" "	" "	0.0781758957654723	0.923076923076923	2.07	0.0721623653219744	=if(or(A314 = "R";isnumber(match(c314;a$1:a$1000;0));isnumber(match(h314;a$1:a$1000;0));isnumber(match(d314;a$1:a$1000;0));isnumber(match(i314;a$1:a$1000;0));isnumber(match(e314;a$1:a$1000;0));isnumber(match(j314;a$1:a$1000;0));isnumber(match(f314;a$1:a$1000;0));isnumber(match(k314;a$1:a$1000;0));isnumber(match(g314;a$1:a$1000;0));isnumber(match(l314;a$1:a$1000;0)));0;p314)	From Tree node	0000022	7	""	""	1	24	26
314	""	0.613207547169811	0.765625								""	""	""	""	""	=if(or(A314 = "R";isnumber(match(c314;a$1:a$1000;0));isnumber(match(h314;a$1:a$1000;0));isnumber(match(d314;a$1:a$1000;0));isnumber(match(i314;a$1:a$1000;0));isnumber(match(e314;a$1:a$1000;0));isnumber(match(j314;a$1:a$1000;0));isnumber(match(f314;a$1:a$1000;0));isnumber(match(k314;a$1:a$1000;0));isnumber(match(g314;a$1:a$1000;0));isnumber(match(l314;a$1:a$1000;0)));0;p314)	From Tree node	0000022	7	""	""	""	""	""
315	""	-0.765625	-0.613207547169811								""	""	""	""	""	=if(or(A314 = "R";isnumber(match(c314;a$1:a$1000;0));isnumber(match(h314;a$1:a$1000;0));isnumber(match(d314;a$1:a$1000;0));isnumber(match(i314;a$1:a$1000;0));isnumber(match(e314;a$1:a$1000;0));isnumber(match(j314;a$1:a$1000;0));isnumber(match(f314;a$1:a$1000;0));isnumber(match(k314;a$1:a$1000;0));isnumber(match(g314;a$1:a$1000;0));isnumber(match(l314;a$1:a$1000;0)));0;p314)	From Tree node	0000022	7	""	""	""	""	""
316	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A314 = "R";isnumber(match(c314;a$1:a$1000;0));isnumber(match(h314;a$1:a$1000;0));isnumber(match(d314;a$1:a$1000;0));isnumber(match(i314;a$1:a$1000;0));isnumber(match(e314;a$1:a$1000;0));isnumber(match(j314;a$1:a$1000;0));isnumber(match(f314;a$1:a$1000;0));isnumber(match(k314;a$1:a$1000;0));isnumber(match(g314;a$1:a$1000;0));isnumber(match(l314;a$1:a$1000;0)));0;p314)	From Tree node	0000022	7	""	""	""	""	""
317	""	A8 %in% c("1")	A10< 0.5	A14< 451	A13< 111	A14< 11	A8	A10	A14	A13	A14	0.0846905537459283	0.838709677419355	1.89	0.0710307870127141	=if(or(A318 = "R";isnumber(match(c318;a$1:a$1000;0));isnumber(match(h318;a$1:a$1000;0));isnumber(match(d318;a$1:a$1000;0));isnumber(match(i318;a$1:a$1000;0));isnumber(match(e318;a$1:a$1000;0));isnumber(match(j318;a$1:a$1000;0));isnumber(match(f318;a$1:a$1000;0));isnumber(match(k318;a$1:a$1000;0));isnumber(match(g318;a$1:a$1000;0));isnumber(match(l318;a$1:a$1000;0)));0;p318)	From Tree node	12	51	""	""	1	26	31
318	""	0.786703601108033	0.248101265822785	0.338432122370937	0.590361445783133	0.332425068119891					""	""	""	""	""	=if(or(A318 = "R";isnumber(match(c318;a$1:a$1000;0));isnumber(match(h318;a$1:a$1000;0));isnumber(match(d318;a$1:a$1000;0));isnumber(match(i318;a$1:a$1000;0));isnumber(match(e318;a$1:a$1000;0));isnumber(match(j318;a$1:a$1000;0));isnumber(match(f318;a$1:a$1000;0));isnumber(match(k318;a$1:a$1000;0));isnumber(match(g318;a$1:a$1000;0));isnumber(match(l318;a$1:a$1000;0)));0;p318)	From Tree node	12	51	""	""	""	""	""
319	""	-0.386666666666667	-0.888888888888889	-0.838709677419355	-0.51063829787234	-0.717948717948718					""	""	""	""	""	=if(or(A318 = "R";isnumber(match(c318;a$1:a$1000;0));isnumber(match(h318;a$1:a$1000;0));isnumber(match(d318;a$1:a$1000;0));isnumber(match(i318;a$1:a$1000;0));isnumber(match(e318;a$1:a$1000;0));isnumber(match(j318;a$1:a$1000;0));isnumber(match(f318;a$1:a$1000;0));isnumber(match(k318;a$1:a$1000;0));isnumber(match(g318;a$1:a$1000;0));isnumber(match(l318;a$1:a$1000;0)));0;p318)	From Tree node	12	51	""	""	""	""	""
320	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A318 = "R";isnumber(match(c318;a$1:a$1000;0));isnumber(match(h318;a$1:a$1000;0));isnumber(match(d318;a$1:a$1000;0));isnumber(match(i318;a$1:a$1000;0));isnumber(match(e318;a$1:a$1000;0));isnumber(match(j318;a$1:a$1000;0));isnumber(match(f318;a$1:a$1000;0));isnumber(match(k318;a$1:a$1000;0));isnumber(match(g318;a$1:a$1000;0));isnumber(match(l318;a$1:a$1000;0)));0;p318)	From Tree node	12	51	""	""	""	""	""
321	""	A8 %in% c("1")	A9 %in% c("0")	A14< 451	A13< 111	A14< 11	A8	A9	A14	A13	A14	0.0846905537459283	0.838709677419355	1.89	0.0710307870127141	=if(or(A322 = "R";isnumber(match(c322;a$1:a$1000;0));isnumber(match(h322;a$1:a$1000;0));isnumber(match(d322;a$1:a$1000;0));isnumber(match(i322;a$1:a$1000;0));isnumber(match(e322;a$1:a$1000;0));isnumber(match(j322;a$1:a$1000;0));isnumber(match(f322;a$1:a$1000;0));isnumber(match(k322;a$1:a$1000;0));isnumber(match(g322;a$1:a$1000;0));isnumber(match(l322;a$1:a$1000;0)));0;p322)	From Tree node	2	51	""	""	1	26	31
